date,weekday,District,actual_volume,predicted_volume,volume_difference_percent,roll_avg
12/31/2019 23:00,Tuesday,MnDOT Metro Freeways,82013967,143034990,-42.66,NA
1/1/2020 23:00,Wednesday,MnDOT Metro Freeways,142296202,145858928,-2.44,NA
1/2/2020 23:00,Thursday,MnDOT Metro Freeways,147575747,149692856,-1.41,NA
1/3/2020 23:00,Friday,MnDOT Metro Freeways,117478701,113558776,3.45,-4.725714286
1/4/2020 23:00,Saturday,MnDOT Metro Freeways,92970179,96025924,-3.18,2.01
1/5/2020 23:00,Sunday,MnDOT Metro Freeways,142930623,132490691,7.88,3.105714286
1/6/2020 23:00,Monday,MnDOT Metro Freeways,147758830,140348766,5.28,4.007142857
1/7/2020 23:00,Tuesday,MnDOT Metro Freeways,147778013,141425729,4.49,3.845714286
1/8/2020 23:00,Wednesday,MnDOT Metro Freeways,147301275,139979016,5.23,4.681428571
1/9/2020 23:00,Thursday,MnDOT Metro Freeways,156038743,148752521,4.9,4.112857143
1/10/2020 23:00,Friday,MnDOT Metro Freeways,115343183,112730949,2.32,3.874285714
1/11/2020 23:00,Saturday,MnDOT Metro Freeways,97026065,94506599,2.67,3.807142857
1/12/2020 23:00,Sunday,MnDOT Metro Freeways,136035399,130925922,3.9,3.948571429
1/13/2020 23:00,Monday,MnDOT Metro Freeways,144798327,139751559,3.61,-0.35
1/14/2020 23:00,Tuesday,MnDOT Metro Freeways,147422520,141731645,4.02,-5.485714286
1/15/2020 23:00,Wednesday,MnDOT Metro Freeways,151626088,142751911,6.22,-7
1/16/2020 23:00,Thursday,MnDOT Metro Freeways,108988195,145693378,-25.19,-7.602857143
1/17/2020 23:00,Friday,MnDOT Metro Freeways,73411643,110617086,-33.63,-7.434285714
1/18/2020 23:00,Saturday,MnDOT Metro Freeways,85678941,93056554,-7.93,-7.645714286
1/19/2020 23:00,Sunday,MnDOT Metro Freeways,129186025,129594611,-0.32,-8.481428571
1/20/2020 23:00,Monday,MnDOT Metro Freeways,142632005,136106787,4.79,-4.275714286
1/21/2020 23:00,Tuesday,MnDOT Metro Freeways,144832507,141245685,2.54,1.96
1/22/2020 23:00,Wednesday,MnDOT Metro Freeways,87522397,87201939,0.37,4.365714286
1/23/2020 23:00,Thursday,MnDOT Metro Freeways,149521122,143431804,4.25,5.507142857
1/24/2020 23:00,Friday,MnDOT Metro Freeways,123641925,112377417,10.02,5.532857143
1/25/2020 23:00,Saturday,MnDOT Metro Freeways,103856695,95358522,8.91,5.928571429
1/26/2020 23:00,Sunday,MnDOT Metro Freeways,143430316,133206712,7.67,6.561428571
1/27/2020 23:00,Monday,MnDOT Metro Freeways,146800535,139853256,4.97,6.334285714
1/28/2020 23:00,Tuesday,MnDOT Metro Freeways,150482925,142890280,5.31,6.024285714
1/29/2020 23:00,Wednesday,MnDOT Metro Freeways,152552962,145569693,4.8,5.094285714
1/30/2020 23:00,Thursday,MnDOT Metro Freeways,153922858,149932848,2.66,5.034285714
1/31/2020 23:00,Friday,MnDOT Metro Freeways,122754527,113821097,7.85,5.131428571
2/1/2020 23:00,Saturday,MnDOT Metro Freeways,98666148,96354547,2.4,5.217142857
2/2/2020 23:00,Sunday,MnDOT Metro Freeways,143435206,133738519,7.25,5.355714286
2/3/2020 23:00,Monday,MnDOT Metro Freeways,148762156,140811342,5.65,5.582857143
2/4/2020 23:00,Tuesday,MnDOT Metro Freeways,151188427,142748422,5.91,5.837142857
2/5/2020 23:00,Wednesday,MnDOT Metro Freeways,152003544,143707141,5.77,2.97
2/6/2020 23:00,Thursday,MnDOT Metro Freeways,152865324,146630925,4.25,2.705714286
2/7/2020 23:00,Friday,MnDOT Metro Freeways,126671992,115544407,9.63,2.698571429
2/8/2020 23:00,Saturday,MnDOT Metro Freeways,79745121,96857391,-17.67,2.39
2/9/2020 23:00,Sunday,MnDOT Metro Freeways,139123420,132000658,5.4,1.605714286
2/10/2020 23:00,Monday,MnDOT Metro Freeways,147296571,139486819,5.6,1.368571429
2/11/2020 23:00,Tuesday,MnDOT Metro Freeways,147727220,142390594,3.75,0.995714286
2/12/2020 23:00,Wednesday,MnDOT Metro Freeways,146817561,146411958,0.28,4.277142857
2/13/2020 23:00,Thursday,MnDOT Metro Freeways,154189510,150293827,2.59,3.162857143
2/14/2020 23:00,Friday,MnDOT Metro Freeways,124493162,116330309,7.02,2.02
2/15/2020 23:00,Saturday,MnDOT Metro Freeways,104239942,98996641,5.3,2.01
2/16/2020 23:00,Sunday,MnDOT Metro Freeways,132750234,136008520,-2.4,2.36
2/17/2020 23:00,Monday,MnDOT Metro Freeways,135295768,138619935,-2.4,2.47
2/18/2020 23:00,Tuesday,MnDOT Metro Freeways,143693047,138596878,3.68,2.39
2/19/2020 23:00,Wednesday,MnDOT Metro Freeways,151091814,147072226,2.73,2.442857143
2/20/2020 23:00,Thursday,MnDOT Metro Freeways,157835096,152703481,3.36,3.65
2/21/2020 23:00,Friday,MnDOT Metro Freeways,125573393,117953906,6.46,4.522857143
2/22/2020 23:00,Saturday,MnDOT Metro Freeways,106402194,100694091,5.67,4.578571429
2/23/2020 23:00,Sunday,MnDOT Metro Freeways,141523994,133454213,6.05,4.75
2/24/2020 23:00,Monday,MnDOT Metro Freeways,147886045,142601640,3.71,4.864285714
